Este (m);Norte (m);Strike (º);Buz_dir (º);Buzamiento (º);Notas
278203.83;8651522.12;155;245;24;Dato de campo
278229.89;8651583.9;4;94;20;Dato de campo
278219.44;8651691.45;0;90;12;Dato de campo
278192.83;8651735.26;176;266;17;Dato de campo
278146.15;8651818.19;148;238;14;Dato de campo
278117.83;8651865.31;129;219;12;Dato de campo
278151.23;8651948.66;124;214;10;Dato de campo
278186;8651973.73;109;199;22;Dato de campo
278190.92;8652051.85;65;155;26;Dato de campo
278200.18;8652140.48;164;254;22;Dato de campo
278194.89;8652082.27;100;190;26;Dato de campo
278177.69;8652214.9;10;100;22;Dato de campo
278151.89;8652289.31;120;210;6;Dato de campo
278118.49;8652451.37;144;234;21;Dato de campo
278152.55;8652517.51;81;171;24;Dato de campo
278114.06;8652497.87;60;150;19;Dato de campo
278221.68;8652588.95;113;203;13;Dato de campo
278280.55;8652612.1;118;208;13;Dato de campo
278330.16;8652632.28;114;204;13;Dato de campo
278361.57;8652649.14;115;205;19;Dato de campo
278424.08;8652657.08;148;238;7;Dato de campo
278471.71;8652693.46;121;211;14;Dato de campo
278515.69;8652716.94;132;222;14;Dato de campo
278583.49;8652774.16;82;172;16;Dato de campo
278613.92;8652795.33;105;195;20;Dato de campo
278671.47;8652843.61;108;198;14;Dato de campo
278796.78;8652965.94;159;249;21;Dato de campo
278430.96;8654074.27;157;247;13;Dato de campo
279174.61;8653718.18;118;208;16;Dato de campo
